"abb","min_wage","unemployment","col_index","wage_norm","unemp_norm","col_norm","composite_score"
"SD",11.5,1.9,85,39.7196261682243,100,98.3284169124877,238.048043080712
"NE",13.5,3,90,58.411214953271,73.1707317073171,93.4119960668633,224.993942727451
"VT",14.01,2.5,110,63.177570093458,85.3658536585366,73.7463126843658,222.28973643636
"WA",16.66,4.5,98,87.9439252336449,36.5853658536585,85.5457227138643,210.075013801168
"ME",14.65,3.2,113.4,69.1588785046729,68.2926829268293,70.4031465093412,207.854707940843
"CT",16.35,3.8,116.8,85.0467289719626,53.6585365853659,67.0599803343166,205.765245891645
"AZ",14.7,4.1,98,69.6261682242991,46.3414634146341,85.5457227138643,201.513354352798
"MO",13.75,4.1,89,60.7476635514019,46.3414634146341,94.3952802359882,201.484407202024
"VA",12.41,3.6,90,48.2242990654206,58.5365853658536,93.4119960668633,200.172880498138
"MT",10.55,2.9,92,30.8411214953271,75.609756097561,91.4454277286136,197.896305321502
